lat,lon,i,j,UTM_E,UTM_N,depth
46.3154343522501,-72.522580545808,13,267,690736.657940654,5132078.32235352,-0.378
46.3143624929335,-72.556399805946,14,254,688136.65794066,5131878.32235333,-0.058
46.3143069671882,-72.5538045242232,14,255,688336.657940661,5131878.32235334,-2.004
46.3142513825886,-72.5512092501563,14,256,688536.657940659,5131878.32235336,-15.098
46.314195739135,-72.5486139837534,14,257,688736.657940659,5131878.32235337,-19.808
46.3141400368278,-72.5460187250225,14,258,688936.65794066,5131878.32235339,-20.168
46.3140842756677,-72.5434234739718,14,259,689136.657940664,5131878.3223534,-17.408
46.3140284556549,-72.5408282306093,14,260,689336.657940664,5131878.32235342,-12.508
46.31397257679,-72.5382329949432,14,261,689536.657940665,5131878.32235343,-2.933
46.3139166390734,-72.5356377669814,14,262,689736.657940664,5131878.32235344,-2.74
46.3138606425055,-72.5330425467321,14,263,689936.657940668,5131878.32235346,-2.302
46.3138045870869,-72.5304473342033,14,264,690136.657940668,5131878.32235347,-0.912
46.3137484728179,-72.5278521294032,14,265,690336.657940667,5131878.32235349,-0.482
46.313692299699,-72.5252569323398,14,266,690536.657940668,5131878.3223535,-0.308
46.3125641623956,-72.5564798924148,15,254,688136.657940673,5131678.32235333,-0.992
46.3125086401161,-72.553884695543,15,255,688336.657940677,5131678.32235334,-12.758
46.3124530589858,-72.5512895063261,15,256,688536.657940675,5131678.32235336,-18.588
46.3123974190053,-72.5486943247724,15,257,688736.657940674,5131678.32235337,-20.178
46.3123417201749,-72.5460991508897,15,258,688936.657940675,5131678.32235339,-19.078
46.3122859624951,-72.5435039846864,15,259,689136.657940676,5131678.3223534,-14.198
46.3122301459663,-72.5409088261703,15,260,689336.65794068,5131678.32235341,-10.278
46.3121742705891,-72.5383136753497,15,261,689536.657940678,5131678.32235343,-2.673
46.3121183363639,-72.5357185322325,15,262,689736.657940679,5131678.32235344,-2.465
46.3120623432911,-72.5331233968268,15,263,689936.65794068,5131678.32235346,-1.247
46.3120062913712,-72.5305282691408,15,264,690136.657940681,5131678.32235348,-0.667
46.3119501806045,-72.5279331491826,15,265,690336.657940681,5131678.32235349,-0.266
46.3108212911491,-72.5591550909116,16,253,687936.657940685,5131478.32235332,-0.505
46.3107658311826,-72.5565599712367,16,254,688136.657940687,5131478.32235333,-10.208
46.3107103123685,-72.5539648592077,16,255,688336.65794069,5131478.32235334,-16.998
46.3106547347074,-72.5513697548329,16,256,688536.657940692,5131478.32235336,-19.928
46.3105990981996,-72.5487746581202,16,257,688736.657940692,5131478.32235337,-19.648
46.3105434028457,-72.5461795690777,16,258,688936.65794069,5131478.32235339,-16.008
46.3104876486461,-72.5435844877136,16,259,689136.657940692,5131478.3223534,-13.138
46.3104318356012,-72.5409894140359,16,260,689336.657940693,5131478.32235342,-3.564
46.3103759637115,-72.5383943480527,16,261,689536.657940694,5131478.32235343,-2.421
46.3103200329774,-72.535799289772,16,262,689736.657940693,5131478.32235345,-1.321
46.3102640433994,-72.533204239202,16,263,689936.657940696,5131478.32235346,-0.144
46.3102079949779,-72.5306091963507,16,264,690136.657940695,5131478.32235348,-0.431
46.3090783534597,-72.561830119728,17,252,687736.657940703,5131278.3223533,-0.332
46.3090229557991,-72.5592350772518,17,253,687936.657940704,5131278.32235331,-8.178
46.3089674992942,-72.5566400424126,17,254,688136.657940702,5131278.32235333,-15.128
46.3089119839454,-72.5540450152184,17,255,688336.657940704,5131278.32235334,-18.478
46.3088564097532,-72.5514499956775,17,256,688536.657940703,5131278.32235335,-19.548
46.308800776718,-72.5488549837978,17,257,688736.657940704,5131278.32235337,-17.748
46.3087450848404,-72.5462599795874,17,258,688936.657940704,5131278.32235339,-13.458
46.3086893341207,-72.5436649830545,17,259,689136.657940704,5131278.3223534,-12.538
46.3086335245594,-72.541069994207,17,260,689336.657940708,5131278.32235341,-5.824
46.3085776561569,-72.5384750130531,17,261,689536.657940708,5131278.32235343,-1.518
46.3085217289137,-72.5358800396009,17,262,689736.657940709,5131278.32235344,-0.237
46.3084657428303,-72.5332850738584,17,263,689936.657940711,5131278.32235346,-0.172
46.307280013977,-72.5619100136026,18,252,687736.657940717,5131078.3223533,-1.156
46.3072246197741,-72.5593150559549,18,253,687936.657940717,5131078.32235331,-13.808
46.3071691667305,-72.5567201059434,18,254,688136.657940719,5131078.32235332,-18.338
46.3071136548468,-72.554125163576,18,255,688336.657940719,5131078.32235334,-19.898
46.3070580841233,-72.5515302288608,18,256,688536.657940719,5131078.32235336,-18.508
46.3070024545605,-72.548935301806,18,257,688736.657940719,5131078.32235337,-14.548
46.3069467661589,-72.5463403824197,18,258,688936.657940721,5131078.32235339,-13.008
46.3068910189189,-72.5437454707098,18,259,689136.65794072,5131078.3223534,-10.578
46.3068352128409,-72.5411505666845,18,260,689336.65794072,5131078.32235341,-3.834
46.3067793479255,-72.5385556703519,18,261,689536.657940723,5131078.32235343,-0.536
